<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: fold_skill_matrix.csv>index,horizon,fold,valid_start,valid_end,adaptive_atr,atr_model_shrinkage,atr_only,conservative_ensemble,current_model,ratio_ridge,residual_boosted,residual_huber,residual_ridge,spread_asymmetry
0,d1,1,2023-08-29,2024-02-28,0.0017225513576499,0.0327538572584398,0.0,0.048981394425548,-0.1563846530550983,-0.639177605520648,0.0435261377441998,0.0674325330649119,-0.0432237236840906,0.0434086472478183
1,d1,2,2024-02-29,2024-08-28,0.0052737401516144,0.0268779566932521,0.0,0.0671425914472451,-0.0681232357130692,-0.6963603549424262,0.0234606960712819,0.0632157251451228,0.0547286756357603,0.0792798250781102
2,d1,3,2024-08-29,2025-03-03,0.0011901207480875,0.026727114314979,0.0,0.0677119731457157,-0.0490535120028519,-0.6616277336010741,0.0249824401754621,0.0699383793313155,0.0257585802166927,0.066398422199973
3,d1,4,2025-03-04,2025-09-02,0.004213480526916,0.0212378535238364,0.0,0.0454314191180494,-0.0504807921793113,-0.5899872882122119,0.0327096223978478,0.0668454425185908,0.0169983645493349,0.0695106651387043
4,d1,5,2025-09-03,2026-03-04,0.0054742837804421,0.0333574104364146,0.0,0.075314952075986,-0.0213223886368818,-0.7005937536936917,0.0282143520685984,0.061092679004175,0.060426594405084,0.0801781403524909
5,w1,1,2023-08-23,2024-02-22,0.0008014258828126,0.0393465434697388,0.0,0.0,-0.094332002971138,-0.3176840317198597,0.0458791383162536,0.0839904740849366,0.0187356546843274,0.080059950801695
6,w1,2,2024-02-23,2024-08-22,0.0007946856444577,0.0260563462229207,0.0,0.0667240793280747,-0.0532330605586786,-0.4806635051173202,0.0259484276138863,0.0616930758000277,0.0555454716739207,0.0743460141154481
7,w1,3,2024-08-23,2025-02-25,0.0003685782891704,0.038727620477438,0.0,0.0680212321250388,-0.0279286060875985,-0.4030075904033396,0.0220353797815103,0.0790988176332654,0.0212316511536457,0.0647381928556245
8,w1,4,2025-02-26,2025-08-26,0.0027461356869821,0.0367470303709817,0.0,0.0693209969587169,-0.0229669376003986,-0.4003803846792075,0.0298495602775599,0.0790703893920222,0.0343038410439365,0.0776400644493424
9,w1,5,2025-08-27,2026-02-26,0.0015726337187239,0.0457382915883801,0.0,0.0781107098173674,-0.0113666022133462,-0.5019688178000734,0.0312111124395585,0.0750997589576206,0.0466291829613149,0.0816220549104307
